pred,true,pred_class,true_class,correct
11,11,BOXING,BOXING,True
98,98,TYPE,TYPE,True
18,18,CANCER,CANCER,True
50,64,FOREIGNER,MOVIE,False
20,20,CATEGORY,CATEGORY,True
91,91,TEAM,TEAM,True
50,50,FOREIGNER,FOREIGNER,True
32,62,CITY,MECHANIC,False
94,94,THAT,THAT,True
68,68,PATIENT,PATIENT,True
31,31,CIGARETTE,CIGARETTE,True
10,10,BOWL,BOWL,True
74,41,SANDWICH,DEVELOP,False
22,22,CEMETERY,CEMETERY,True
3,57,BEE,HOSPITAL,False
85,85,STICKY,STICKY,True
0,55,AXE,HALLOWEEN,False
49,49,FINE,FINE,True
61,27,LUNCH,CHEEK,False
11,91,BOXING,TEAM,False
65,65,NIGHT,NIGHT,True
53,11,GREEN,BOXING,False
7,7,BLOOD,BLOOD,True
48,32,ELEVATOR,CITY,False
75,75,SCARED,SCARED,True
42,42,DINNER,DINNER,True
10,14,BOWL,BRAVE,False
41,41,DEVELOP,DEVELOP,True
59,30,LETTUCE,CHRISTMAS,False
86,86,STOMACH,STOMACH,True
95,95,THEY,THEY,True
84,84,STEAL,STEAL,True
61,46,LUNCH,EAT,False
17,25,CANCEL,CHARACTER,False
54,59,GUESS,LETTUCE,False
84,84,STEAL,STEAL,True
90,60,TAKEOFF,LOCK,False
10,10,BOWL,BOWL,True
50,92,FOREIGNER,TEMPTATION,False
82,51,SKATE,GIFT,False
28,81,CHEESEGRATER,SINK,False
2,2,BASKETBALL,BASKETBALL,True
68,57,PATIENT,HOSPITAL,False
59,21,LETTUCE,CATHOLIC,False
17,80,CANCEL,SHOP,False
72,67,ROCKINGCHAIR,PARTY,False
67,44,PARTY,DOWNSIZE,False
20,20,CATEGORY,CATEGORY,True
7,7,BLOOD,BLOOD,True
72,72,ROCKINGCHAIR,ROCKINGCHAIR,True
23,23,CHAIN,CHAIN,True
37,16,DARK,CALENDAR,False
1,1,BACKPACK,BACKPACK,True
75,75,SCARED,SCARED,True
29,29,CHOCOLATE,CHOCOLATE,True
83,54,SPECIAL,GUESS,False
12,12,BOY,BOY,True
74,47,SANDWICH,EDIT,False
13,13,BRAIDS,BRAIDS,True
76,76,SERVE,SERVE,True
86,92,STOMACH,TEMPTATION,False
12,12,BOY,BOY,True
3,3,BEE,BEE,True
24,24,CHANNEL,CHANNEL,True
53,53,GREEN,GREEN,True
39,17,DECIDE,CANCEL,False
9,9,BOTTLE,BOTTLE,True
58,58,HURDLE/TRIP,HURDLE/TRIP,True
69,56,RECENT,HAMMER,False
77,77,SEW,SEW,True
83,83,SPECIAL,SPECIAL,True
51,70,GIFT,RESEARCH,False
59,66,LETTUCE,NOON,False
89,66,SUSPECT,NOON,False
79,79,SHINY,SHINY,True
88,88,SURPRISE,SURPRISE,True
69,89,RECENT,SUSPECT,False
61,9,LUNCH,BOTTLE,False
69,69,RECENT,RECENT,True
4,15,BELIEVE,BREAKFAST,False
32,32,CITY,CITY,True
54,87,GUESS,STRANGE,False
39,39,DECIDE,DECIDE,True
96,53,THIRD,GREEN,False
62,62,MECHANIC,MECHANIC,True
71,71,RIVER,RIVER,True
98,45,TYPE,DRAG,False
74,74,SANDWICH,SANDWICH,True
53,99,GREEN,WHATFOR,False
95,95,THEY,THEY,True
83,40,SPECIAL,DEMAND,False
26,50,CHASE,FOREIGNER,False
4,81,BELIEVE,SINK,False
41,80,DEVELOP,SHOP,False
94,94,THAT,THAT,True
36,36,CONFUSED,CONFUSED,True
56,56,HAMMER,HAMMER,True
88,88,SURPRISE,SURPRISE,True
78,78,SHAVE,SHAVE,True
58,58,HURDLE/TRIP,HURDLE/TRIP,True
25,25,CHARACTER,CHARACTER,True
49,74,FINE,SANDWICH,False
85,72,STICKY,ROCKINGCHAIR,False
41,64,DEVELOP,MOVIE,False
93,93,TEXT,TEXT,True
98,71,TYPE,RIVER,False
97,97,TWINS,TWINS,True
54,3,GUESS,BEE,False
78,78,SHAVE,SHAVE,True
82,17,SKATE,CANCEL,False
95,68,THEY,PATIENT,False
45,22,DRAG,CEMETERY,False
28,63,CHEESEGRATER,MICROSCOPE,False
39,0,DECIDE,AXE,False
61,55,LUNCH,HALLOWEEN,False
93,28,TEXT,CHEESEGRATER,False
68,54,PATIENT,GUESS,False
43,43,DOG,DOG,True
80,70,SHOP,RESEARCH,False
2,2,BASKETBALL,BASKETBALL,True
29,48,CHOCOLATE,ELEVATOR,False
19,19,CASTLE,CASTLE,True
77,77,SEW,SEW,True
73,73,SAME,SAME,True
61,87,LUNCH,STRANGE,False
90,90,TAKEOFF,TAKEOFF,True
