pred,true,pred_class,true_class,correct
75,75,SCARED,SCARED,True
65,42,NIGHT,DINNER,False
67,14,PARTY,BRAVE,False
41,41,DEVELOP,DEVELOP,True
66,30,NOON,CHRISTMAS,False
86,86,STOMACH,STOMACH,True
95,95,THEY,THEY,True
84,84,STEAL,STEAL,True
61,46,LUNCH,EAT,False
42,25,DINNER,CHARACTER,False
59,59,LETTUCE,LETTUCE,True
65,84,NIGHT,STEAL,False
79,60,SHINY,LOCK,False
10,10,BOWL,BOWL,True
92,92,TEMPTATION,TEMPTATION,True
51,51,GIFT,GIFT,True
16,81,CALENDAR,SINK,False
2,2,BASKETBALL,BASKETBALL,True
57,57,HOSPITAL,HOSPITAL,True
30,21,CHRISTMAS,CATHOLIC,False
80,80,SHOP,SHOP,True
72,67,ROCKINGCHAIR,PARTY,False
39,44,DECIDE,DOWNSIZE,False
20,20,CATEGORY,CATEGORY,True
17,7,CANCEL,BLOOD,False
72,72,ROCKINGCHAIR,ROCKINGCHAIR,True
29,23,CHOCOLATE,CHAIN,False
30,16,CHRISTMAS,CALENDAR,False
1,1,BACKPACK,BACKPACK,True
67,75,PARTY,SCARED,False
29,29,CHOCOLATE,CHOCOLATE,True
23,54,CHAIN,GUESS,False
12,12,BOY,BOY,True
40,47,DEMAND,EDIT,False
13,13,BRAIDS,BRAIDS,True
2,76,BASKETBALL,SERVE,False
57,92,HOSPITAL,TEMPTATION,False
12,12,BOY,BOY,True
46,3,EAT,BEE,False
24,24,CHANNEL,CHANNEL,True
96,53,THIRD,GREEN,False
32,17,CITY,CANCEL,False
9,9,BOTTLE,BOTTLE,True
58,58,HURDLE/TRIP,HURDLE/TRIP,True
21,56,CATHOLIC,HAMMER,False
76,77,SERVE,SEW,False
83,83,SPECIAL,SPECIAL,True
70,70,RESEARCH,RESEARCH,True
66,66,NOON,NOON,True
89,66,SUSPECT,NOON,False
79,79,SHINY,SHINY,True
88,88,SURPRISE,SURPRISE,True
69,89,RECENT,SUSPECT,False
53,9,GREEN,BOTTLE,False
46,69,EAT,RECENT,False
9,15,BOTTLE,BREAKFAST,False
23,32,CHAIN,CITY,False
30,87,CHRISTMAS,STRANGE,False
1,39,BACKPACK,DECIDE,False
99,53,WHATFOR,GREEN,False
62,62,MECHANIC,MECHANIC,True
71,71,RIVER,RIVER,True
45,45,DRAG,DRAG,True
74,74,SANDWICH,SANDWICH,True
6,99,BITE,WHATFOR,False
95,95,THEY,THEY,True
83,40,SPECIAL,DEMAND,False
84,50,STEAL,FOREIGNER,False
32,81,CITY,SINK,False
50,80,FOREIGNER,SHOP,False
94,94,THAT,THAT,True
36,36,CONFUSED,CONFUSED,True
53,56,GREEN,HAMMER,False
88,88,SURPRISE,SURPRISE,True
78,78,SHAVE,SHAVE,True
58,58,HURDLE/TRIP,HURDLE/TRIP,True
25,25,CHARACTER,CHARACTER,True
97,74,TWINS,SANDWICH,False
82,72,SKATE,ROCKINGCHAIR,False
64,64,MOVIE,MOVIE,True
93,93,TEXT,TEXT,True
79,71,SHINY,RIVER,False
97,97,TWINS,TWINS,True
99,3,WHATFOR,BEE,False
78,78,SHAVE,SHAVE,True
17,17,CANCEL,CANCEL,True
49,68,FINE,PATIENT,False
45,22,DRAG,CEMETERY,False
28,63,CHEESEGRATER,MICROSCOPE,False
44,0,DOWNSIZE,AXE,False
74,55,SANDWICH,HALLOWEEN,False
28,28,CHEESEGRATER,CHEESEGRATER,True
54,54,GUESS,GUESS,True
43,43,DOG,DOG,True
80,70,SHOP,RESEARCH,False
39,2,DECIDE,BASKETBALL,False
48,48,ELEVATOR,ELEVATOR,True
19,19,CASTLE,CASTLE,True
77,77,SEW,SEW,True
93,73,TEXT,SAME,False
54,87,GUESS,STRANGE,False
9,90,BOTTLE,TAKEOFF,False
