pred,true,pred_class,true_class,correct
41,41,DEVELOP,DEVELOP,True
61,30,LUNCH,CHRISTMAS,False
86,86,STOMACH,STOMACH,True
49,95,FINE,THEY,False
84,84,STEAL,STEAL,True
61,46,LUNCH,EAT,False
92,25,TEMPTATION,CHARACTER,False
12,59,BOY,LETTUCE,False
84,84,STEAL,STEAL,True
64,60,MOVIE,LOCK,False
10,10,BOWL,BOWL,True
61,92,LUNCH,TEMPTATION,False
82,51,SKATE,GIFT,False
77,81,SEW,SINK,False
2,2,BASKETBALL,BASKETBALL,True
49,57,FINE,HOSPITAL,False
12,21,BOY,CATHOLIC,False
51,80,GIFT,SHOP,False
67,67,PARTY,PARTY,True
67,44,PARTY,DOWNSIZE,False
77,20,SEW,CATEGORY,False
16,7,CALENDAR,BLOOD,False
67,72,PARTY,ROCKINGCHAIR,False
91,23,TEAM,CHAIN,False
12,16,BOY,CALENDAR,False
16,1,CALENDAR,BACKPACK,False
67,75,PARTY,SCARED,False
65,29,NIGHT,CHOCOLATE,False
17,54,CANCEL,GUESS,False
12,12,BOY,BOY,True
37,47,DARK,EDIT,False
67,13,PARTY,BRAIDS,False
76,76,SERVE,SERVE,True
86,92,STOMACH,TEMPTATION,False
12,12,BOY,BOY,True
49,3,FINE,BEE,False
49,24,FINE,CHANNEL,False
49,53,FINE,GREEN,False
34,17,CLOSE,CANCEL,False
9,9,BOTTLE,BOTTLE,True
79,58,SHINY,HURDLE/TRIP,False
12,56,BOY,HAMMER,False
67,77,PARTY,SEW,False
83,83,SPECIAL,SPECIAL,True
51,70,GIFT,RESEARCH,False
12,66,BOY,NOON,False
12,66,BOY,NOON,False
79,79,SHINY,SHINY,True
88,88,SURPRISE,SURPRISE,True
49,89,FINE,SUSPECT,False
51,9,GIFT,BOTTLE,False
51,69,GIFT,RECENT,False
34,15,CLOSE,BREAKFAST,False
91,32,TEAM,CITY,False
61,87,LUNCH,STRANGE,False
67,39,PARTY,DECIDE,False
49,53,FINE,GREEN,False
91,62,TEAM,MECHANIC,False
45,71,DRAG,RIVER,False
77,45,SEW,DRAG,False
34,74,CLOSE,SANDWICH,False
49,99,FINE,WHATFOR,False
49,95,FINE,THEY,False
83,40,SPECIAL,DEMAND,False
92,50,TEMPTATION,FOREIGNER,False
4,81,BELIEVE,SINK,False
8,80,BORROW,SHOP,False
12,94,BOY,THAT,False
36,36,CONFUSED,CONFUSED,True
12,56,BOY,HAMMER,False
88,88,SURPRISE,SURPRISE,True
77,78,SEW,SHAVE,False
79,58,SHINY,HURDLE/TRIP,False
32,25,CITY,CHARACTER,False
49,74,FINE,SANDWICH,False
67,72,PARTY,ROCKINGCHAIR,False
28,64,CHEESEGRATER,MOVIE,False
91,93,TEAM,TEXT,False
77,71,SEW,RIVER,False
49,97,FINE,TWINS,False
12,3,BOY,BEE,False
77,78,SEW,SHAVE,False
34,17,CLOSE,CANCEL,False
49,68,FINE,PATIENT,False
71,22,RIVER,CEMETERY,False
28,63,CHEESEGRATER,MICROSCOPE,False
12,0,BOY,AXE,False
61,55,LUNCH,HALLOWEEN,False
28,28,CHEESEGRATER,CHEESEGRATER,True
49,54,FINE,GUESS,False
49,43,FINE,DOG,False
12,70,BOY,RESEARCH,False
2,2,BASKETBALL,BASKETBALL,True
48,48,ELEVATOR,ELEVATOR,True
19,19,CASTLE,CASTLE,True
77,77,SEW,SEW,True
64,73,MOVIE,SAME,False
49,87,FINE,STRANGE,False
77,90,SEW,TAKEOFF,False
